lei;ementa;ano;inteiro_teor
"5.100, de 30.12.1939
Publicado no DOU de 6.1.40";Extingue cargo excedente.;1939;"





	Presidência da República
Casa Civil
Subchefia para Assuntos Jurídicos




DECRETO No 
5.100, DE 30 DE DEZEMBRO DE 1939






Revogado 
	pelo Decreto de 25.4.1991

Texto 
para impressão




Extingue cargo excedente.





O Presidente da República:

Resolve declarar 
extinto, por se achar vago, um (1) cargo excedente da classe D, da carreira de 
Servente, do Quadro VII - Delegacias Fiscais - do Ministério da Fazenda, 
aproveitando-se o saldo apurado, dentro da verba global do respectivo orçamento, 
para o preenchimento de cargos vagos na mesma carreira, conforme consta das 
tabelas anexas à Lei n.º 284, de 28 de outubro de 1936, em virtude do 
falecimento de José Pinto Rangel.

Rio de Janeiro, 30 de dezembro de 1939, 118º da Independência e 
51º da República.

GETÚLIO VARGAS.
A. de Souza Costa.


Este texto 
não 
substitui o publicado no DOU, de 6.1.1940

 
 

 
 
 
 
 
 
"
"5.090, de 30.12.1939
Publicado no DOU de 5.1.40";"Concede à ""Sociedade Mineração Mineira Limitada"" autorização para funcionar.";1939;"





	Presidência da República
Casa Civil
Subchefia para Assuntos Jurídicos




DECRETO No 
5.090, DE 30 DE DEZEMBRO DE 1939






Revogado 
	pelo Decreto de 15.2.1991

Texto 
para impressão




Concede à ""Sociedade Mineração Mineira Limitada"" autorização para funcionar.




O Presidente da República, 
usando da atribuição que lhe confere o art. 74, letra a, da Constituição, e 
atendendo ao que requereu a ""Sociedade Mineração Mineira Limitada"", com sede na 
cidade de Belo Horizonte,


DECRETA:

Art. 1º É concedida à ""Sociedade Mineração 
Mineira Limitada"" autorização para funcionar de acordo com o que prescreve o 
Decreto-lei n.º 938, de 8 de dezembro de 1938, ficando a mesma sociedade 
obrigada a cumprir integralmente as leis e regulamentos em vigor, ou que vierem 
a vigorar, sobre o objeto da referida autorização.

Art. 2º Revogam-se as disposições em 
contrário.

Rio de Janeiro, 30 de dezembro de 1939, 118º da Independência e 
51º da República.

GETÚLIO VARGAS.
Fernando Costa.


Este texto 
não 
substitui o publicado no DOU, de 5.1.1940

 
 

 
 
 
 
 
 
"
"5.080, de 30.12.1939
Publicado no DOU de 4.1.40";Aprova projeto e orçamento, para construção de um triângulo de reversão, no km. 438, no ramal de Caratinga, de The Leopoldina railway, Company, Limited.;1939;"
"
"5.070, de 27.12.1939
Publicado no DOU de 8.1.40";Autoriza, a título provisório, o cidadão brasileiro Domingos de Campos a pesquisar amiento em terras de propriedade de herdeiros de Vicença Braz, Antônio da Cunha e Josefa Duarte, no Município de Aurora, Estado do Ceará.;1939;"





	Presidência da República
Casa Civil
Subchefia para Assuntos Jurídicos




DECRETO No 
5.070, DE 27 DE DEZEMBRO DE 1939






Revogado 
	pelo Decreto de 15.2.1991

Texto 
para impressão




Autoriza, a título provisório, o cidadão brasileiro Domingos de Campos a 
pesquisar amiento em terras de propriedade de herdeiros de Vicença Braz, Antônio 
da Cunha e Josefa Duarte, no Município de Aurora, Estado do Ceará.




O Presidente da República, usando da atribuição que lhe 
confere o art. 74, letra a, da Constituição, tendo em vista o Decreto n.º 24.642 
de 10 de julho de 1934, (Código de Minas) e que a jazida mineral objeto desta 
autorização de pesquisa, embora situada, em terras do domínio privado 
particular, pertence à União, em conformidade do estatuido na letra b, do n. II 
do art. 2º do Decreto-lei n.º 66, de 14 de dezembro de 1937, por não ter sido 
manifestado ao Poder Público na forma do art. 10 do Código de Minas,

DECRETA:

Art. 1º Fica autorizado, a título provisório e 
sem prejuizo das disposições legais que vierem a ser decretadas, o cidadão 
brasileiro Domingos de Campos a pesquisar amianto em uma área de cem (100) 
hectares para a fáse um (1), e no máximo cincoenta (50) hectares para a fáse 
