lei;ementa;ano;inteiro_teor
"3.092, de 29.12.56
Publicada no DOU de 2.1.1957";Cria a Escola Agrícola de Rio Pomba, no Estado de Minas Gerais, e dá outras providências.;1956;"




Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos




LEI Nº 3.092, DE 29 DE DEZEMBRO DE 1956.





Cria a Escola Agrícola de 
	Rio Pomba, no Estado de Minas Gerais, e dá outras providências.



       
O PRESIDENTE DA REPÚBLICA, 
faço saber que o CONGRESSO NACIONAL decreta e eu sanciono a seguinte Lei: 
        


Art. 1º É criada, no Ministério da Agricultura, a Escola Agrícola de Rio Pomba, 
no Estado de Minas Gerais, subordinada à Superintendência do Ensino Agrícola e 
Veterinário, para ministrar os cursos previstos na Lei Orgânica do Ensino 
Agrícola (Decreto-lei nº 
9.613, de 20 de agôsto de 1946).

        


Art. 2º A instalação da Escola Agrícola de Rio Pomba será feita em cooperação 
com o Pôsto de Criação da Divisão de Fomento da Produção Animal, do Departamento 
Nacional da Produção Animal, e com a Estação Experimental de Fumo do Serviço 
Nacional de Pesquisas Agronômicas, mantidos pelo Ministério da Agricultura no 
município de Rio Pomba, utilizando-se para isso as terras e as benfeitorias que 
se fizerem necessárias. 
        


Art. 3º Para atender às despesas com o início dos seus trabalhos, é o Poder 
Executivo autorizado a abrir, pelo Ministério da Agricultura, o crédito especial 
de Cr$ 8.000.000,00 (oito milhões de cruzeiros), importância que, nos orçamentos 
dos exercícios subseqüentes à sua criação, passará a incorporar-se às dotações 
destinadas à manutenção das Escolas de que trata a Lei Orgânica do Ensino 
Agrícola. 
        


Art. 4º Esta lei entrará em vigor na data de sua publicação, revogadas as 
disposições em contrário. 
        
Rio de Janeiro, em 29 de dezembro de 1956; 135º da Independência e 68º da 
República. 

JUSCELINO KUBITSCHEK

 Mário Meneghetti

 José Maria Alkimim 
 
Este texto não substitui o
publicado no DOU de  2.1.1957
*
 
 
 
 
 
 
"
"3.091, de 29.12.56
Publicada no DOU de 31.12.1956";Concede isenção de direitos e mais taxas aduaneiras para mercadorias importadas pela emprêsa Frigoríficos Minas Gerais S.A. (Frimisa).;1956;"




Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos




LEI Nº 3.091, DE 29 DE DEZEMBRO DE 1956.


 

Concede isenção de direitos e mais taxas aduaneiras para 
mercadorias importadas pela emprêsa Frigoríficos Minas Gerais S.A. (Frimisa).



O PRESIDENTE DA REPÚBLICA, faço saber que o CONGRESSO 
NACIONAL decreta e eu sanciono a seguinte lei:


Art. 1º É concedida isenção de direitos de importação, 
impôsto de consumo e mais taxas aduaneiras, excluída a de previdência social, às 
mercadorias importadas pela emprêsa Frigoríficos Minas Gerais S. A. (Frimisa), e 
que se destinem à montagem de seu frigorífico-industrial, no Estado de Minas 
Gerais, de acôrdo com as especificações e quantidades anexas.


Art. 2º Os favores consignados no artigo anterior não 
se aplicam aos materiais que tenham similares na indústria nacional, legalmente 
registrados, desde que tais materiais não constituam partes integrantes e 
complementares de determinados conjuntos.


Art. 3º Poderá ser autorizado o desembaraço aduaneiro, 
ocorrendo a hipótese prevista no art. 2º da presente lei, mediante prévia 
assinatura de têrmo de responsabilidade para a ulterior comprovação da formação 
dos conjuntos, depois de montados.


Art. 4º A isenção de que trata o art. 1º desta lei, 
abrange também as importações que tenham sido processadas mediante têrmo de 
responsabilidade.


Art. 5º Esta lei entrará em vigor na data de sua 
publicação, revogadas as disposições em contrário.

Rio de Janeiro, em 29 de dezembro de 1956; 135º da 
Independência e 68º da República.

JUSCELINO KUBITSChEK

José Maria Alkmim
Este texto não substitui o
publicado no DOU de  31.12.1956
*
 
 
 
 
 
 
 
"
"3.090, de 29.12.56
Publicada no DOU de 31.12.1956";Concede isenção de direitos de importação para um órgão, dois tonecabinets e um motor-gerador, destinados aos Padres Franciscanos sediados na cidade de Pires do Rio, no Estado de Goiás.;1956;"




Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos




LEI Nº 3.090, DE 29 DE DEZEMBRO DE 1956.


 

Concede isenção de direitos de importação para um órgão, dois 
tonecabinets e um motor-gerador, destinados aos Padres Franciscanos sediados na 
cidade de Pires do Rio, no Estado de Goiás.



O PRESIDENTE DA REPÚBLICA, faço saber que o CONGRESSO 
NACIONAL decreta e eu sanciono a seguinte Lei:


Art. 1º É concedida isenção de direitos de importação e 
taxa aduaneiras, exceto a de previdência social, para um órgão, modêlo 4.602, 
junto com pedal - board e banco, dois tonecabinets modêlo 626, e um 
motor-gerador, destinados aos Padres Franciscanos sediados na cidade de Pires do 
Rio, no Estado de Goiás, adquiridos à firma The Rudolph Wurlitzer Company North 
Tonawanda, New York, com as seguintes especificações:

1) 4.602 órgão encaixotado para exporte:

Net. 202.31 kilos Tamanho em metros: 9017x1.4478

Legal 202.31 kilos Metros cúbicos: 1.558341144

Tare 123.38 kilos

Gross 337.92 kilos

1) 4.602 pedal board encaixotado para exporte:

Net. 24.04 kilos Tamanho em metros: 3175x8954x1.3399

Legal 24.04 kilos Metros cúbicos: 3622876

Tare 39.46 kilos

